2022,2022,2022,2018,2018,2018
Tony Movshon,Eero Simoncelli,Felice Dunn,David Brainard,Julijana Gjorgjieva,Jenny Read
EJ Chichilnisky,Greg Horwitz,Jonathan Pillow,Matteo Carandini,Alexander Huk,Fred Rieke
Tatiana Engel,Kate Bonnen,Lindsey Glickfeld,EJ Chichilnisky,Roozbeh Kiani,Nicole Rust
Jennifer Groh,Adrienne Fairhall,Jenny Read,Anne Churchland,Wei Ji Ma,Eero Simoncelli
SueYeon Chung,Anitha Pasupathy,Johannes Burge,Marlene Cohen,J. Anthony Movshon,Jon Shlens
Stefan Treue,Marlene Cohen,Geoff Boynton,James DiCarlo,Stephanie Palmer,Stefan Treue
Roozbeh Kiani,Joshua Gold,,Adrienne Fairhall,,
